model_id,analysis_role,condition_id,seed,candidate_representation,delta_log_loss,delta_brier_score,log_loss_sign,brier_score_sign,log_loss_sign_reversal_vs_baseline,brier_score_sign_reversal_vs_baseline,log_loss_rank_order,brier_score_rank_order,log_loss_rank_reversal_vs_baseline,brier_score_rank_reversal_vs_baseline
bkt_mean_full_credit_secondary,secondary,aggregation_product,20260829,structural_split2,-0.01850841327452546,-0.006482796883008679,negative,negative,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,aggregation_product,20260830,coarse_linguistic_families,0.007819893640126363,0.003853128841253467,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,aggregation_product,20260830,structural_split2,0.00375538984349999,0.0018204103404874106,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
empirical_history_secondary,secondary,aggregation_product,20260830,coarse_linguistic_families,0.007670442571292346,0.0043674528979326666,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,True,True
empirical_history_secondary,secondary,aggregation_product,20260830,structural_split2,0.003613118659952952,0.0011850305764409819,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,True,True
bkt_mean_full_credit_secondary,secondary,aggregation_product,20260830,coarse_linguistic_families,0.07533215669935511,0.025817093457434992,positive,positive,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
bkt_mean_full_credit_secondary,secondary,aggregation_product,20260830,structural_split2,-0.018733900857281882,-0.006782336255119814,negative,negative,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,aggregation_product,20260831,coarse_linguistic_families,0.008130382131282587,0.003997274697958297,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,aggregation_product,20260831,structural_split2,0.0041315264432585375,0.001980519128648661,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
empirical_history_secondary,secondary,aggregation_product,20260831,coarse_linguistic_families,0.007885975675601231,0.0044941845429978255,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,True,True
